date,trade_date,strategy,model_name,horizon,pred_ret,pred_up_prob,pred_trade_prob,fwd_ret_1d,benchmark_return,strategy_return,final_position,turnover,turnover_cost,position_gap,position_gap_return,cumulative_position_timing_contribution,equity,drawdown,benchmark_equity,benchmark_drawdown
2025-06-27,2025-06-30,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0029768863902657526,0.5428501347002712,0.5419681421289162,0.015376621339424856,0.015376621339424856,0.015376621339424856,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,142755.77990565964,0.0,143062.66898566464,0.0
2025-06-30,2025-07-01,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0029768863902657526,0.5428501347002712,0.5419681421289162,0.006206586242389012,0.006206586242389012,0.006206586242389012,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,143641.80596524364,0.0,143950.59977879052,0.0
2025-07-01,2025-07-02,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0029768863902657526,0.5975562216556762,0.5579137474167992,0.0024891997136555766,0.0024891997136555766,0.0024891997136555766,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,143999.35910752128,0.0,144308.92157054043,0.0
2025-07-02,2025-07-03,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0029768863902657526,0.5829372969143456,0.547636565305678,0.006422921117722247,0.006422921117722247,0.006422921117722247,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,144924.25563207144,0.0,145235.80639037158,0.0
2025-07-03,2025-07-04,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0029768863902657526,0.6156474335680061,0.5792924910972213,-0.011759491576041947,-0.011759491576041947,-0.011759491576041947,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,143220.02006880194,-0.011759491576041947,143527.90714858435,-0.011759491576041947
2025-07-04,2025-07-07,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0035604707899441956,0.5246022887273057,0.45366550531964134,0.016673050752520124,0.016673050752520124,0.016673050752520124,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,145607.93473218603,0.0,145920.95522887568,0.0
2025-07-07,2025-07-08,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0035604707899441956,0.5246022887273057,0.45366550531964134,0.008061599862168922,0.008061599862168922,0.008061599862168922,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,146781.76763875372,0.0,147097.31158143634,0.0
2025-07-08,2025-07-09,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0035604707899441956,0.513321896926275,0.426796538486742,0.0012508428163870988,0.0012508428163870988,0.0012508428163870988,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,146965.36855838125,0.0,147281.30719693782,0.0
2025-07-09,2025-07-10,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0035604707899441956,0.513321896926275,0.434496606951184,0.0037478404898079187,0.0037478404898079187,0.0037478404898079187,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,147516.17131726388,0.0,147833.29404344235,0.0
2025-07-10,2025-07-11,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0035604707899441956,0.513321896926275,0.43388149484607275,0.00019435437904702368,0.00019435437904702368,0.00019435437904702368,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,147544.84173113963,0.0,147862.02609150865,0.0
2025-07-11,2025-07-14,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.5178103306870947,0.4384223791985185,0.013284529968666359,0.013284529968666359,0.013284529968666359,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,149504.9056028391,0.0,149826.30360834903,0.0
2025-07-14,2025-07-15,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.5178103306870947,0.4384223791985185,-0.01437899096288342,-0.01437899096288342,-0.01437899096288342,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,147355.17591626913,-0.014378990962883531,147671.95254276236,-0.01437899096288342
2025-07-15,2025-07-16,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0035604707899441956,0.513321896926275,0.43271473733306853,0.012553295380349994,0.012553295380349994,0.012553295380349994,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,149204.96896536948,-0.0020061993033620995,149525.72218242468,-0.0020061993033618775
2025-07-16,2025-07-17,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0035604707899441956,0.513321896926275,0.434496606951184,0.007595647699411012,0.007595647699411012,0.007595647699411012,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,150338.277344632,0.0,150661.4668901224,0.0
2025-07-17,2025-07-18,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.4954435909952386,0.44004517254442455,0.004472422809906451,0.004472422809906451,0.004472422809906451,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,151010.65368543015,0.0,151335.28867121573,0.0
2025-07-18,2025-07-21,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.4954435909952386,0.44004517254442455,0.018615103481135487,0.018615103481135487,0.018615103481135487,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,153821.73263053835,0.0,154152.41073017791,0.0
2025-07-21,2025-07-22,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.5040180279292212,0.4291961537289165,0.00039607296345023357,0.00039607296345023357,0.00039607296345023357,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,153882.65726002437,0.0,154213.4663323188,0.0
2025-07-22,2025-07-23,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.4948248157659282,0.4291961537289165,-0.0033393108909187674,-0.0033393108909187674,-0.0033393108909187674,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,153368.79522671245,-0.0033393108909187674,153698.49962466897,-0.0033393108909187674
2025-07-23,2025-07-24,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.4948248157659282,0.4291961537289165,0.01304070389243872,0.01304070389243872,0.01304070389243872,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,155368.83227160407,0.0,155702.83624698638,0.0
2025-07-24,2025-07-25,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.4948248157659282,0.44460492377477295,0.006494082577760407,0.006494082577760407,0.006494082577760407,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,156377.8102983861,0.0,156713.98332316583,0.0
2025-07-25,2025-07-28,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.4948248157659282,0.4291961537289165,0.01034640810929921,0.01034640810929921,0.01034640810929921,1.0,0.0,0.0,0.0,0.0,-0.0021523447544447138,157995.75894297176,0.0,158335.41015106122,0.0
2025-07-28,2025-07-29,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0026787970725207105,0.4948248157659282,0.44577854827691116,-0.0030534670810076214,-0.0030534670810076214,-0.0030534670810076214,1.0,0.0,0.0,0.0,-0.0,-0.0021523447544447138,157513.3240941006,-0.0030534670810075104,157851.9381884071,-0.0030534670810077325
