factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,mean_when_big_up,mean_when_big_down,difference_big_up_down,missing_rate,max_abs_tail_corr
trend_vol_regime,3,-0.031135289527746232,-0.1918006247040278,-0.0047856004697404714,-0.007731958762886598,0.19513457556935818,-0.20286653433224477,0.0,0.1918006247040278
breakout_high_20,20,-0.276749413734272,-0.1916869976978879,0.06332661385474193,-0.050569844354133225,-0.03327276174791932,-0.017297082606213904,0.004724409448818898,0.1916869976978879
downside_volatility_10,10,0.17542391622087777,0.19115529382024868,-0.04653630642205875,0.010926930149781149,0.00862909609583285,0.0022978340539482993,0.0020887728459530026,0.19115529382024868
downside_return_sum_20,3,-0.13389632205827814,-0.19070795376890284,0.007205035590099231,-0.13904121563910932,-0.11694903480522591,-0.02209218083388341,0.004682622268470343,0.19070795376890284
m5_intraday_return_std_5,3,0.1600717045497832,0.18987254546474955,-0.021811869928172644,0.02371572216932992,0.01964438910341027,0.004071333065919648,0.8381893860561914,0.18987254546474955
breakout_high_60,3,-0.0871223149367447,-0.18870715724011577,0.012421603276995909,-0.07608356567992945,-0.05873629038464775,-0.017347275295281704,0.015088449531737774,0.18870715724011577
m5_last_hour_volume_share_mean_5,5,-0.14099396321930396,-0.18743144797567596,0.026543041023536953,0.2227102750207608,0.22656932347651115,-0.003859048455750358,0.8390625,0.18743144797567596
breakout_high_prior_20,3,-0.10112062642480103,-0.18734944846067594,0.011268456895989855,-0.05167316324777039,-0.03786100104284612,-0.013812162204924268,0.005202913631633715,0.18734944846067594
breakout_high_prior_60,3,-0.08415460219605242,-0.18614956057020043,0.01432701162912884,-0.07534357688212616,-0.05755923643490242,-0.01778434044722374,0.015608740894901144,0.18614956057020043
m5_large_up_count,5,0.15610392853532348,0.18601744240234544,-0.03130124188884392,3.433628318584071,2.510204081632653,0.9234242369514178,0.8380208333333333,0.18601744240234544
m5_volume_profile_std_5,3,0.2628920163366382,0.18524784137219774,-0.043523295622102776,0.03685003272719593,0.03161316430231929,0.0052368684248766464,0.8381893860561914,0.18524784137219774
volatility_5,3,0.1504165868564107,0.18434816735462053,-0.04051892756657117,0.01744922428280092,0.01426849537775291,0.003180728905048011,0.0015608740894901144,0.18434816735462053
volatility_ratio_20_60,3,0.11795194161040944,0.1841440550632034,-0.07378822670233327,1.028804665625523,0.93649356770871,0.09231109791681302,0.015608740894901144,0.1841440550632034
volatility_ratio_20_60,20,0.2088372840166752,0.18337461151272189,-0.13643624955075423,1.0213381372674326,0.898602844717383,0.12273529255004956,0.015748031496062992,0.18337461151272189
breakout_high_prior_20,20,-0.26210559594399624,-0.18306348923303603,0.059920511181557605,-0.04955752012978522,-0.032289000255362854,-0.017268519874422364,0.005249343832020997,0.18306348923303603
atr_ratio_20,3,0.16459028695302286,0.1830274713539953,-0.010662668568741603,0.021888188412368236,0.01959204394975772,0.002296144462610516,0.004682622268470343,0.1830274713539953
downside_volatility_10,3,0.11364083719396258,0.18291143225359677,-0.004885861778176515,0.011063178683436124,0.009243033416644482,0.0018201452667916413,0.002081165452653486,0.18291143225359677
drawdown_60,3,-0.08139571071595794,-0.1822369369092358,0.007752474311825808,-0.07172969320130103,-0.05543934152769341,-0.016290351673607616,0.015088449531737774,0.1822369369092358
drawdown_20,3,-0.09832364112592526,-0.1821241020180603,0.006603478500630585,-0.04734911623830592,-0.035114244775990296,-0.012234871462315625,0.004682622268470343,0.1821241020180603
m5_close_30m_buy_pressure_z_20,5,0.006373080751231779,-0.04839336120143603,0.18203440620065833,-0.055463154922669844,0.27121136491394565,-0.3266745198366155,0.8401041666666667,0.18203440620065833
large_down_return_sum_20,3,-0.12207425714006412,-0.18144013480143237,-0.001280304399767994,-0.12008895336219579,-0.09963256181701752,-0.020456391545178268,0.004682622268470343,0.18144013480143237
trend_vol_regime,10,-0.0447263936064107,-0.18142373901672787,0.0282891692610731,0.020765472312703582,0.24640287769784172,-0.22563740538513813,0.0,0.18142373901672787
downside_volatility_5,10,0.1449122794073902,0.1804973686614186,-0.01862918890296269,0.009875903120349043,0.007768547238403295,0.002107355881945748,0.0010443864229765013,0.1804973686614186
drawdown_20,20,-0.25925449863724653,-0.17990622558508315,0.05457539331491762,-0.04548090594729021,-0.030022504065216286,-0.015458401882073921,0.004724409448818898,0.17990622558508315
atr_ratio_5,20,0.32386093665049465,0.1791159229896558,-0.0634114705352498,0.02250680445166012,0.018511716075352402,0.003995088376307718,0.0010498687664041995,0.1791159229896558
m5_last30_volume_share_std_5,5,0.15516563281346793,0.1786310257602398,-0.0512896253516207,0.015043981295595673,0.012928688823773831,0.0021152924718218415,0.8390625,0.1786310257602398
breakout_high_120,3,-0.08585813333261243,-0.17853740511399632,0.0015505870852559622,-0.09721226137889497,-0.07791657420362143,-0.019295687175273538,0.030697190426638918,0.17853740511399632
sell_pressure_volume_20,5,0.17738002597084782,0.17785093636069427,-0.059026062457339906,0.06552149508570243,0.0495020844902865,0.01601941059541593,0.0046875,0.17785093636069427
