model_name,horizon,target_name,validation_auc,test_auc,validation_logloss,test_logloss,logloss_gap,validation_return_corr,test_return_corr,validation_score,test_score,score_gap,auc_gap,validation_selection_score,test_selection_score,is_validation_prediction_best,is_final_strategy_used,final_strategy_name,stability_comment
LogisticRegressionStrongL2,10,target_big_up,0.6070509521358723,0.5387948995749646,1.7114315955448731,1.5595007008645307,0.15193089468034238,,,0.6070509521358723,0.5387948995749646,0.06825605256090772,0.06825605256090772,0.5837005654499138,0.4667562602681269,False,False,,weak or unstable predictive evidence
LogisticRegressionStrongL2,3,target_big_up,0.5959194488606253,0.5279966645820303,1.2609097947008152,1.123364028587569,0.1375457661132462,,,0.5959194488606253,0.5279966645820303,0.067922784278595,0.067922784278595,0.5445623219607291,0.4723958262181938,False,False,,weak or unstable predictive evidence
GradientBoosting,5,target_up,0.4971590909090909,0.4295419254658385,0.7134750993443084,0.6725738480966609,0.04090125124764754,,,0.4971590909090909,0.4295419254658385,0.06761716544325236,0.06761716544325236,0.4678265212265409,0.4269783209988572,False,False,,weak or unstable predictive evidence
HistGradientBoosting,5,target_up,0.5476190476190477,0.4803959627329193,0.8807161925221356,0.758616889474479,0.1220993030476566,,,0.5476190476190477,0.4803959627329193,0.06722308488612838,0.06722308488612838,0.5179130807743705,0.4357923609209597,False,False,,weak or unstable predictive evidence
RandomForestDeep,1,target_ret,,,,,,0.0770296482214006,0.0098939279689036,0.0770296482214006,0.0098939279689036,0.067135720252497,,0.4776694405727049,0.5090525215544474,False,False,,weak or unstable predictive evidence
XGBoost,10,target_ret,,,,,,-0.0474518355465739,-0.1140021964708523,-0.0474518355465739,-0.1140021964708523,0.0665503609242784,,0.5444053588245549,0.4204321330862544,False,False,,weak or unstable predictive evidence
GradientBoosting,3,target_big_down,0.484029484029484,0.4176124789011117,0.6520920640351328,0.5792637075742105,0.07282835646092223,,,0.484029484029484,0.4176124789011117,0.06641700512837229,0.06641700512837229,0.452098478207081,0.4663289260039216,False,False,,weak or unstable predictive evidence
XGBoostRegularized,5,target_trade,0.5850556438791733,0.5186762778505898,0.7260544730172187,0.7211738889314013,0.004880584085817374,,,0.5850556438791733,0.5186762778505898,0.06637936602858352,0.06637936602858352,0.5291271512800536,0.4588407670735495,False,False,,weak or unstable predictive evidence
ExtraTrees,10,target_ret,,,,,,0.1913138525818681,0.1260128657366429,0.1913138525818681,0.1260128657366429,0.0653009868452252,,0.5640734286150841,0.4839468169513137,False,False,,weak or unstable predictive evidence
XGBoost,5,target_up,0.5416666666666666,0.476659549689441,0.7627745420139205,0.7326464412066188,0.03012810080730166,,,0.5416666666666666,0.476659549689441,0.06500711697722561,0.06500711697722561,0.5280042678021251,0.4480333929651244,False,False,,weak or unstable predictive evidence
