factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
m5_open_30m_range,20,0.2938319295965173,0.24438934380307267,-0.11008732145253648,0.1887195323497153,0.020665047750884624,0.014207558148997036,0.01997442552672365,0.014496578274312331,0.006457489601887589,0.8446194225721785,0.24438934380307267
m5_intraday_max_return,20,0.23746990342247565,0.24321946523815954,-0.10700451756877052,0.1990675532214204,0.018036476902128624,0.01105782696771317,0.017274782453668255,0.01092590017907162,0.006978649934415455,0.8446194225721785,0.24321946523815954
m5_close_vwap_position_std_5,10,0.15519932815171855,0.24118516826738365,-0.047803134260018636,0.1736288612292391,0.007772303658169244,0.005815277163198243,0.007380819066880716,0.005519727320125283,0.0019570264949710014,0.8412532637075718,0.24118516826738365
m5_intraday_volatility_mean_5,3,0.16030348128090313,0.23883769272410837,-0.003194315169126965,0.14956260887047387,0.0022278736436882494,0.0019316283998031122,0.0021159639076065834,0.001831708599466976,0.00029624524388513723,0.8381893860561914,0.23883769272410837
m5_afternoon_return_std_5,20,0.2730741787950786,0.2347168103597254,-0.05749095708498152,0.14602647742763458,0.011467952498537971,0.008788458288551817,0.010978896618336585,0.008818852509022002,0.0026794942099861545,0.8456692913385827,0.2347168103597254
atr_ratio_5,10,0.2674117317022027,0.2344622022584217,-0.08170417515018316,0.15330860016964193,0.023376375892820073,0.018276319687887184,0.022065503396252083,0.0183075536065377,0.005100056204932889,0.0010443864229765013,0.2344622022584217
downside_volatility_20,10,0.23388421159783904,0.23299353570915818,-0.08900984148008802,0.1615755907242275,0.011884565608596466,0.009058324112512506,0.011175269195586613,0.009116576124576318,0.0028262414960839605,0.004699738903394256,0.23299353570915818
m5_intraday_return_std_5,5,0.19025805121983513,0.2317950983497929,-0.10891514993437569,0.19902252084079047,0.02451836863463319,0.017645210064023188,0.023311928223000582,0.017297678695978733,0.006873158570610001,0.8390625,0.2317950983497929
m5_intraday_volatility_std_5,5,0.1684240135000347,0.2311473532303948,-0.09352788020467394,0.19739157471687888,0.0006913483433597071,0.0004832916718863641,0.0006600309774677044,0.00046886189103232897,0.00020805667147334305,0.8390625,0.2311473532303948
volatility_20,10,0.25341264292652255,0.2296743527964561,-0.091336757748113,0.16148588242381068,0.018881074215104415,0.01513222694026914,0.01797467586886304,0.01524364191674071,0.003748847274835274,0.005221932114882507,0.2296743527964561
